point_id,ts,anchor_ids,ranges,ref
A13B4,1729687410106,"[1, 2, 3, 4, 5]","[50.34, nan, 31.9, 22.68, 13.97]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687410649,"[1, 2, 3, 4, 5]","[50.34, nan, 31.97, 22.68, 13.83]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687411113,"[1, 2, 3, 4, 5]","[50.42, nan, 31.97, nan, 13.9]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687411658,"[1, 2, 3, 4, 5]","[50.42, nan, 32.05, 22.68, 16.17]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687412202,"[1, 2, 3, 4, 5]","[50.42, nan, 31.97, 18.58, 13.83]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687412746,"[1, 2, 3, 4, 5]","[50.42, nan, 32.78, 18.58, 13.9]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687413290,"[1, 2, 3, 4, 5]","[50.49, nan, 32.85, 18.58, 13.9]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687413929,"[1, 2, 3, 4, 5]","[50.49, 35.05, 33.07, 18.58, 13.97]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687414394,"[1, 2, 3, 4, 5]","[50.42, nan, 33.22, 18.36, nan]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687414938,"[1, 2, 3, 4, 5]","[50.42, nan, 33.07, 15.73, 13.83]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687415402,"[1, 2, 3, 4, 5]","[50.42, nan, 33.0, 15.66, nan]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687415945,"[1, 2, 3, 4, 5]","[50.49, nan, 33.0, 18.36, 16.09]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687416489,"[1, 2, 3, 4, 5]","[50.42, nan, 31.9, 18.51, 16.09]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687417033,"[1, 2, 3, 4, 5]","[50.49, nan, 32.93, 18.36, 13.83]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687417578,"[1, 2, 3, 4, 5]","[50.56, nan, 31.9, 15.73, 13.9]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687418122,"[1, 2, 3, 4, 5]","[50.49, nan, 31.9, 15.8, 13.9]","(-1.7810000000000001, 33.013000000000005, 3.353)"
