Unix_Timestamp,Messung,AP1,AP2,AP3,AP4,AP5,AP6
1729692284210,25,21.652,9.953,17.429,17.457,15.101,26.675
1729692284973,25,22.468,9.25,11.562,17.511,15.039,26.621
1729692285742,25,22.652,11.835,18.164,17.367,15.156,26.738
1729692286511,25,22.492,19.894,17.898,17.359,15.238,26.566
1729692287290,25,22.109,10.753,13.609,17.363,15.05,26.535
1729692288054,25,22.308,11.238,17.804,17.41,15.113,26.593
1729692288822,25,22.738,10.453,17.734,17.359,15.121,26.621
1729692289577,25,22.503,10.113,18.054,17.359,15.101,26.609
1729692290404,25,22.519,9.992,17.781,17.32,15.039,26.644
1729692291177,25,22.648,10.316,18.089,17.457,14.972,26.496
1729692291945,25,22.484,9.75,18.062,17.304,15.296,26.593
1729692292706,25,22.41,9.957,17.964,17.371,14.984,26.667
1729692293543,25,22.214,10.582,17.898,17.378,15.156,26.625
1729692294303,25,22.46,10.609,17.875,17.382,15.207,26.812
1729692295069,25,22.359,10.226,17.746,17.48,15.343,26.652
1729692295833,25,22.164,10.32,17.699,17.453,15.171,26.578
1729692296591,25,22.429,10.32,17.796,17.644,14.976,26.55
1729692297356,25,22.523,10.507,17.847,17.464,15.066,26.605
1729692298121,25,22.511,10.429,16.445,17.39,15.011,26.585
1729692298887,25,22.57,10.378,17.871,17.328,inf,26.578
1729692299655,25,22.558,10.777,17.691,17.386,15.085,26.496
1729692300429,25,22.343,9.816,17.789,17.378,14.976,26.656
1729692301199,25,22.441,10.371,18.031,17.398,14.976,26.589
1729692301966,25,22.445,10.175,17.75,17.406,16.382,26.644
1729692302728,25,22.222,10.035,17.851,17.468,15.078,26.687
1729692303492,25,22.507,10.589,17.898,17.429,15.16,26.613
1729692304260,25,22.406,10.199,17.761,17.445,14.914,26.75
1729692305028,25,22.457,10.386,17.867,17.375,14.941,26.628
1729692305783,25,22.292,11.183,17.984,17.488,15.082,26.511
1729692306540,25,22.332,10.355,17.949,17.437,15.078,26.687
1729692307311,25,22.429,10.574,17.835,17.363,15.257,26.656
1729692308071,25,22.699,10.382,17.781,17.324,15.179,26.578
